in s,C4 in V
2.94758320E-01,-4.8391235E-03
2.94758784E-01,-5.7729614E-03
2.94759248E-01,-4.8848999E-03
2.94759712E-01,-5.7760132E-03
2.94760176E-01,-5.6142700E-03
2.94760640E-01,-4.9184692E-03
2.94761104E-01,-4.3783081E-03
2.94761568E-01,-4.5156372E-03
2.94762032E-01,-6.2215698E-03
2.94762496E-01,-7.7993286E-03
2.94762960E-01,-6.3894165E-03
2.94763424E-01,-5.6936157E-03
2.94763888E-01,-5.7027710E-03
2.94764352E-01,-5.5807007E-03
2.94764816E-01,-5.2480591E-03
2.94765280E-01,-5.2175415E-03
2.94765744E-01,-5.1320923E-03
2.94766208E-01,-5.4433716E-03
2.94766672E-01,-5.4342163E-03
2.94767136E-01,-5.5898560E-03
2.94767600E-01,-4.6987427E-03
2.94768064E-01,-5.0954712E-03
2.94768528E-01,-5.2328003E-03
2.94768992E-01,-5.8034790E-03
2.94769456E-01,-6.5328491E-03
2.94769920E-01,-6.7678345E-03
2.94770384E-01,-8.1899536E-03
2.94770848E-01,-7.8512085E-03
2.94771312E-01,-6.9723022E-03
2.94771776E-01,-6.1635864E-03
2.94772240E-01,-6.2581909E-03
2.94772704E-01,-5.1168335E-03
2.94773168E-01,-5.2083862E-03
2.94773632E-01,-5.7485474E-03
2.94774096E-01,-6.6671265E-03
2.94774560E-01,-6.1544312E-03
2.94775024E-01,-7.0669067E-03
2.94775488E-01,-6.5816772E-03
2.94775952E-01,-6.8715942E-03
2.94776416E-01,-6.1300171E-03
2.94776880E-01,-5.9469116E-03
2.94777344E-01,-6.9753540E-03
2.94777808E-01,-7.7169312E-03
2.94778272E-01,-6.9234741E-03
2.94778736E-01,-7.1920288E-03
2.94779200E-01,-7.3568237E-03
2.94779664E-01,-6.9723022E-03
2.94780128E-01,-6.6854370E-03
2.94780592E-01,-8.2357300E-03
2.94781056E-01,-7.4178589E-03
2.94781520E-01,-8.4524048E-03
2.94781984E-01,-8.6171997E-03
2.94782448E-01,-8.6782349E-03
2.94782912E-01,-8.9559448E-03
2.94783376E-01,-9.2641724E-03
2.94783840E-01,-9.0719116E-03
2.94784304E-01,-7.5582397E-03
2.94784768E-01,-6.7129028E-03
2.94785232E-01,-6.8899048E-03
2.94785696E-01,-6.0567749E-03
2.94786160E-01,-7.1157349E-03
2.94786624E-01,-7.2866333E-03
2.94787088E-01,-6.3863647E-03
2.94787552E-01,-6.5694702E-03
2.94788016E-01,-6.7861450E-03
2.94788480E-01,-5.7454956E-03
2.94788944E-01,-5.4738892E-03
2.94789408E-01,-6.3436401E-03
2.94789872E-01,-7.5155151E-03
2.94790336E-01,-7.6711548E-03
2.94790800E-01,-7.6101196E-03
2.94791264E-01,-6.3161743E-03
2.94791728E-01,-7.1706665E-03
2.94792192E-01,-8.7880981E-03
2.94792656E-01,-7.1767700E-03
2.94793120E-01,-8.2723511E-03
2.94793584E-01,-8.6568726E-03
2.94794048E-01,-8.1319702E-03
2.94794512E-01,-7.0974243E-03
2.94794976E-01,-8.0404175E-03
2.94795440E-01,-7.8023804E-03
2.94795904E-01,-7.6436890E-03
2.94796368E-01,-7.7810181E-03
2.94796832E-01,-6.9570435E-03
2.94797296E-01,-7.3079956E-03
2.94797760E-01,-7.4209106E-03
2.94798224E-01,-7.3781860E-03
2.94798688E-01,-6.6060913E-03
2.94799152E-01,-5.8736694E-03
2.94799616E-01,-6.5420044E-03
2.94800080E-01,-7.4270142E-03
2.94800544E-01,-7.3446167E-03
2.94801008E-01,-7.2591675E-03
2.94801472E-01,-6.6610229E-03
2.94801936E-01,-6.3436401E-03
2.94802400E-01,-5.9469116E-03
2.94802864E-01,-5.8706177E-03
2.94803328E-01,-6.5236938E-03
2.94803792E-01,-6.8502319E-03
2.94804256E-01,-6.4840210E-03
2.94804720E-01,-5.7638062E-03
2.94805184E-01,-6.6732300E-03
2.94805648E-01,-8.2815063E-03
2.94806112E-01,-9.3557251E-03
2.94806576E-01,-8.9620483E-03
2.94807040E-01,-9.2946899E-03
2.94807504E-01,-8.4707153E-03
