"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:21:21",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3121,,
"Current",,8.910400e-06,,
"Average No.",,1.000000e+03,,
"Min",,1.771200e-06,,
"Max",,1.937120e-05,,
"Mean",,6.881824e-06,,
"StdDev",,2.402035e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.801982e-06,,
"Long term StdDev",,3.730531e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
406,,5.500800e-06,
407,,5.289600e-06,
408,,5.446400e-06,
409,,5.307200e-06,
410,,5.328000e-06,
411,,5.300800e-06,
412,,5.307200e-06,
413,,5.304000e-06,
414,,1.193440e-05,
415,,5.251200e-06,
416,,5.316800e-06,
417,,5.313600e-06,
418,,5.454400e-06,
419,,5.444800e-06,
420,,1.186560e-05,
421,,5.430400e-06,
422,,4.811200e-06,
423,,5.344000e-06,
424,,5.294400e-06,
425,,1.183520e-05,
426,,5.230400e-06,
427,,5.243200e-06,
428,,5.411200e-06,
429,,1.196480e-05,
430,,5.355200e-06,
431,,5.481600e-06,
432,,5.409600e-06,
433,,5.313600e-06,
434,,5.270400e-06,
435,,5.435200e-06,
436,,5.382400e-06,
437,,5.316800e-06,
438,,5.276800e-06,
439,,5.299200e-06,
440,,5.403200e-06,
441,,5.243200e-06,
442,,1.186560e-05,
443,,5.427200e-06,
444,,1.192960e-05,
445,,4.745600e-06,
446,,5.364800e-06,
447,,1.192320e-05,
448,,5.332800e-06,
449,,5.344000e-06,
450,,5.395200e-06,
451,,5.273600e-06,
452,,1.196320e-05,
453,,5.320000e-06,
454,,5.318400e-06,
455,,5.371200e-06,
456,,5.331200e-06,
457,,1.185440e-05,
458,,5.424000e-06,
459,,1.181600e-05,
460,,5.425600e-06,
461,,5.385600e-06,
462,,5.417600e-06,
463,,5.339200e-06,
464,,5.241600e-06,
465,,5.321600e-06,
466,,5.332800e-06,
467,,5.524800e-06,
468,,5.326400e-06,
469,,1.188640e-05,
470,,1.179680e-05,
471,,5.267200e-06,
472,,5.296000e-06,
473,,5.312000e-06,
474,,5.460800e-06,
475,,1.185920e-05,
476,,5.332800e-06,
477,,5.385600e-06,
478,,5.174400e-06,
479,,5.302400e-06,
480,,5.289600e-06,
481,,5.302400e-06,
482,,5.241600e-06,
483,,1.186880e-05,
484,,1.196480e-05,
485,,5.403200e-06,
486,,5.472000e-06,
487,,1.185760e-05,
488,,5.331200e-06,
489,,5.334400e-06,
490,,5.288000e-06,
491,,5.300800e-06,
492,,1.185760e-05,
