(1.4062+/-0.0184)E-06 (1.9022+/-0.0249)E-07
(1.3721+/-0.0180)E-06 (1.8530+/-0.0243)E-07
(1.3541+/-0.0177)E-06 (1.8294+/-0.0240)E-07
(1.3296+/-0.0174)E-06 (1.8968+/-0.0248)E-07
(1.3018+/-0.0171)E-06 (1.7844+/-0.0234)E-07
(1.2889+/-0.0169)E-06 (1.8231+/-0.0239)E-07
(1.2618+/-0.0165)E-06 (1.8756+/-0.0246)E-07
(1.2525+/-0.0164)E-06 (1.8477+/-0.0242)E-07
(1.2432+/-0.0163)E-06 (1.8584+/-0.0243)E-07
(1.2072+/-0.0158)E-06 (1.9277+/-0.0253)E-07
(1.0139+/-0.0133)E-06 (4.3969+/-0.0576)E-07
(7.9009+/-0.1035)E-07 (1.5354+/-0.0201)E-07
(1.9218+/-0.0252)E-05 (6.3589+/-0.0833)E-08
(8.7793+/-0.1150)E-07 (2.9894+/-0.0392)E-07
(8.6781+/-0.1137)E-07 (3.9768+/-0.0521)E-07
(6.6335+/-0.0869)E-07 (3.8574+/-0.0505)E-07
(1.7275+/-0.0226)E-06 (2.3216+/-0.0304)E-04
(5.7934+/-0.0759)E-07 (1.0850+/-0.0142)E-07
(6.6358+/-0.0869)E-07 (8.7120+/-0.1141)E-08
(5.6416+/-0.0739)E-07 (1.3728+/-0.0180)E-07
(8.8747+/-0.1163)E-07 (1.7286+/-0.0226)E-07
(4.9201+/-0.0645)E-07 (1.0798+/-0.0141)E-07
(5.1017+/-0.0668)E-07 (6.5499+/-0.0858)E-08
(4.8083+/-0.0630)E-07 (1.2308+/-0.0161)E-07
(5.9462+/-0.0779)E-07 (7.0233+/-0.0920)E-08
(4.5596+/-0.0597)E-07 (1.6977+/-0.0222)E-07
(4.4208+/-0.0579)E-07 (1.2411+/-0.0163)E-07
(4.5706+/-0.0599)E-07 (1.4860+/-0.0195)E-07
(4.2520+/-0.0557)E-07 (1.0472+/-0.0137)E-07
(4.3434+/-0.0569)E-07 (1.1167+/-0.0146)E-07
(4.1662+/-0.0546)E-07 (1.2361+/-0.0162)E-07
(4.4043+/-0.0577)E-07 (1.0175+/-0.0133)E-07
(4.4261+/-0.0580)E-07 (1.2120+/-0.0159)E-07
(4.4856+/-0.0588)E-07 (1.7051+/-0.0223)E-07
(4.5787+/-0.0600)E-07 (1.8057+/-0.0237)E-07
(1.3695+/-0.0179)E-06 (2.5348+/-0.0332)E-08
(8.9934+/-0.1178)E-07 (1.1031+/-0.0145)E-07
(3.5951+/-0.0471)E-05 (2.9008+/-0.0380)E-08
(6.6257+/-0.0868)E-07 (3.3464+/-0.0438)E-05
(1.0969+/-0.0144)E-06 (8.5649+/-0.1122)E-05
(4.7312+/-0.0620)E-07 (2.3063+/-0.0302)E-07
(2.2151+/-0.0290)E-06 (2.0646+/-0.0270)E-07
(3.7628+/-0.0493)E-07 (9.1204+/-0.1195)E-08
(7.5402+/-0.0988)E-07 (1.4993+/-0.0196)E-07
(3.9202+/-0.0514)E-07 (2.4602+/-0.0322)E-08
(9.4272+/-0.1235)E-07 (1.3778+/-0.0180)E-05
(2.9074+/-0.0381)E-07 (6.1510+/-0.0806)E-08
(5.2199+/-0.0684)E-07 (2.6609+/-0.0349)E-08
(3.2415+/-0.0425)E-07 (5.4725+/-0.0717)E-08
(5.9126+/-0.0775)E-07 (1.3622+/-0.0178)E-07
(3.3815+/-0.0443)E-07 (1.3374+/-0.0175)E-07
(5.0228+/-0.0658)E-07 (4.8514+/-0.0636)E-08
(2.3994+/-0.0314)E-07 (1.5222+/-0.0199)E-07
(4.3090+/-0.0564)E-07 (9.5715+/-0.1254)E-08
(2.4520+/-0.0321)E-07 (1.1382+/-0.0149)E-07
(3.5893+/-0.0470)E-07 (6.9834+/-0.0915)E-08
(2.3191+/-0.0304)E-07 (4.0953+/-0.0536)E-07
(3.2241+/-0.0422)E-07 (5.5277+/-0.0724)E-08
(2.1543+/-0.0282)E-07 (8.2937+/-0.1086)E-06
(2.6953+/-0.0353)E-07 (3.2045+/-0.0420)E-08
(2.9079+/-0.0381)E-06 (3.6953+/-0.0484)E-07
(4.6062+/-0.0603)E-05 (1.5788+/-0.0207)E-08
(1.2537+/-0.0164)E-06 (7.9442+/-0.1041)E-08
(1.2629+/-0.0165)E-06 (2.3827+/-0.0312)E-08
(8.4293+/-0.1104)E-07 (5.5052+/-0.0721)E-08
(5.1824+/-0.0679)E-07 (2.0004+/-0.0262)E-05
(6.9051+/-0.0905)E-07 (4.6744+/-0.0612)E-08
(5.7929+/-0.0759)E-07 (1.0702+/-0.0140)E-07
(5.9132+/-0.0775)E-07 (4.1535+/-0.0544)E-08
(5.6590+/-0.0741)E-07 (6.9446+/-0.0910)E-08
(5.1569+/-0.0676)E-07 (4.6312+/-0.0607)E-08
(5.2317+/-0.0685)E-07 (6.0876+/-0.0797)E-08
(4.7701+/-0.0625)E-07 (5.3242+/-0.0697)E-08
(4.9114+/-0.0643)E-07 (5.6687+/-0.0743)E-08
(4.6323+/-0.0607)E-07 (5.4247+/-0.0711)E-08
(4.6417+/-0.0608)E-07 (5.3528+/-0.0701)E-08
(4.4440+/-0.0582)E-07 (5.2009+/-0.0681)E-08
(4.4280+/-0.0580)E-07 (5.0900+/-0.0667)E-08
(4.2357+/-0.0555)E-07 (5.0680+/-0.0664)E-08
(4.1996+/-0.0550)E-07 (4.8867+/-0.0640)E-08
(4.0765+/-0.0534)E-07 (5.0869+/-0.0666)E-08
(4.0081+/-0.0525)E-07 (4.9686+/-0.0651)E-08
(3.9353+/-0.0516)E-07 (5.0642+/-0.0663)E-08
(3.8891+/-0.0509)E-07 (4.9134+/-0.0644)E-08
(3.8175+/-0.0500)E-07 (5.0294+/-0.0659)E-08
