(8.5649+/-0.0483)E-06 (9.7579+/-0.0551)E-07
(8.3205+/-0.0470)E-06 (9.8754+/-0.0557)E-07
(7.9120+/-0.0447)E-06 (9.9340+/-0.0561)E-07
(7.8780+/-0.0445)E-06 (9.1178+/-0.0515)E-07
(7.5761+/-0.0428)E-06 (1.0248+/-0.0058)E-06
(7.3922+/-0.0417)E-06 (9.9832+/-0.0563)E-07
(7.2956+/-0.0412)E-06 (9.8559+/-0.0556)E-07
(7.1635+/-0.0404)E-06 (1.0219+/-0.0058)E-06
(7.0134+/-0.0396)E-06 (9.6137+/-0.0543)E-07
(6.9442+/-0.0392)E-06 (9.8223+/-0.0554)E-07
(6.7981+/-0.0384)E-06 (1.0105+/-0.0057)E-06
(6.7483+/-0.0381)E-06 (9.9545+/-0.0562)E-07
(6.6977+/-0.0378)E-06 (1.0012+/-0.0057)E-06
(6.5042+/-0.0367)E-06 (1.0386+/-0.0059)E-06
(5.4625+/-0.0308)E-06 (2.3689+/-0.0134)E-06
(4.2567+/-0.0240)E-06 (8.2720+/-0.0467)E-07
(1.0354+/-0.0058)E-04 (3.4260+/-0.0193)E-07
(4.7300+/-0.0267)E-06 (1.6106+/-0.0091)E-06
(4.6754+/-0.0264)E-06 (2.1425+/-0.0121)E-06
(3.5739+/-0.0202)E-06 (2.0782+/-0.0117)E-06
(9.3071+/-0.0525)E-06 (1.2508+/-0.0071)E-03
(3.1213+/-0.0176)E-06 (5.8458+/-0.0330)E-07
(3.5751+/-0.0202)E-06 (4.6937+/-0.0265)E-07
(3.0395+/-0.0172)E-06 (7.3963+/-0.0417)E-07
(4.7814+/-0.0270)E-06 (9.3129+/-0.0526)E-07
(2.6508+/-0.0150)E-06 (5.8174+/-0.0328)E-07
(2.7486+/-0.0155)E-06 (3.5289+/-0.0199)E-07
(2.5905+/-0.0146)E-06 (6.6312+/-0.0374)E-07
(3.2036+/-0.0181)E-06 (3.7839+/-0.0214)E-07
(2.4566+/-0.0139)E-06 (9.1467+/-0.0516)E-07
(2.3817+/-0.0134)E-06 (6.6863+/-0.0377)E-07
(2.4625+/-0.0139)E-06 (8.0060+/-0.0452)E-07
(2.2908+/-0.0129)E-06 (5.6422+/-0.0318)E-07
(2.3400+/-0.0132)E-06 (6.0164+/-0.0340)E-07
(2.2446+/-0.0127)E-06 (6.6596+/-0.0376)E-07
(2.3729+/-0.0134)E-06 (5.4821+/-0.0309)E-07
(2.3846+/-0.0135)E-06 (6.5296+/-0.0369)E-07
(2.4167+/-0.0136)E-06 (9.1863+/-0.0518)E-07
(2.4669+/-0.0139)E-06 (9.7285+/-0.0549)E-07
(7.3786+/-0.0416)E-06 (1.3657+/-0.0077)E-07
(4.8453+/-0.0273)E-06 (5.9433+/-0.0335)E-07
(1.9369+/-0.0109)E-04 (1.5628+/-0.0088)E-07
(3.5697+/-0.0201)E-06 (1.8029+/-0.0102)E-04
(5.9098+/-0.0334)E-06 (4.6145+/-0.0260)E-04
(2.5490+/-0.0144)E-06 (1.2425+/-0.0070)E-06
(1.1934+/-0.0067)E-05 (1.1123+/-0.0063)E-06
(2.0273+/-0.0114)E-06 (4.9137+/-0.0277)E-07
(4.0624+/-0.0229)E-06 (8.0774+/-0.0456)E-07
(2.1121+/-0.0119)E-06 (1.3255+/-0.0075)E-07
(5.0791+/-0.0287)E-06 (7.4230+/-0.0419)E-05
(1.5664+/-0.0088)E-06 (3.3140+/-0.0187)E-07
(2.8123+/-0.0159)E-06 (1.4336+/-0.0081)E-07
(1.7464+/-0.0099)E-06 (2.9484+/-0.0166)E-07
(3.1855+/-0.0180)E-06 (7.3391+/-0.0414)E-07
(1.8219+/-0.0103)E-06 (7.2056+/-0.0407)E-07
(2.7061+/-0.0153)E-06 (2.6138+/-0.0148)E-07
(1.2927+/-0.0073)E-06 (8.2010+/-0.0463)E-07
(2.3215+/-0.0131)E-06 (5.1568+/-0.0291)E-07
(1.3210+/-0.0075)E-06 (6.1324+/-0.0346)E-07
(1.9338+/-0.0109)E-06 (3.7624+/-0.0212)E-07
(1.2494+/-0.0071)E-06 (2.2064+/-0.0125)E-06
(1.7370+/-0.0098)E-06 (2.9781+/-0.0168)E-07
(1.1607+/-0.0066)E-06 (4.4684+/-0.0252)E-05
(1.4521+/-0.0082)E-06 (1.7265+/-0.0097)E-07
(1.5667+/-0.0088)E-05 (1.9909+/-0.0112)E-06
(2.4816+/-0.0140)E-04 (8.5063+/-0.0480)E-08
(6.7548+/-0.0381)E-06 (4.2800+/-0.0242)E-07
(6.8041+/-0.0384)E-06 (1.2837+/-0.0072)E-07
(4.5414+/-0.0256)E-06 (2.9660+/-0.0167)E-07
(2.7921+/-0.0158)E-06 (1.0778+/-0.0061)E-04
(3.7202+/-0.0210)E-06 (2.5184+/-0.0142)E-07
(3.1210+/-0.0176)E-06 (5.7656+/-0.0325)E-07
(3.1858+/-0.0180)E-06 (2.2377+/-0.0126)E-07
(3.0488+/-0.0172)E-06 (3.7415+/-0.0211)E-07
(2.7784+/-0.0157)E-06 (2.4951+/-0.0141)E-07
(2.8187+/-0.0159)E-06 (3.2798+/-0.0185)E-07
(2.5700+/-0.0145)E-06 (2.8685+/-0.0162)E-07
(2.6461+/-0.0149)E-06 (3.0541+/-0.0172)E-07
(2.4957+/-0.0141)E-06 (2.9226+/-0.0165)E-07
(2.5008+/-0.0141)E-06 (2.8839+/-0.0163)E-07
(2.3942+/-0.0135)E-06 (2.8021+/-0.0158)E-07
(2.3856+/-0.0135)E-06 (2.7423+/-0.0155)E-07
(2.2821+/-0.0129)E-06 (2.7304+/-0.0154)E-07
(2.2626+/-0.0128)E-06 (2.6328+/-0.0149)E-07
(2.1963+/-0.0124)E-06 (2.7406+/-0.0155)E-07
(2.1594+/-0.0122)E-06 (2.6769+/-0.0151)E-07
(2.1202+/-0.0120)E-06 (2.7284+/-0.0154)E-07
(2.0953+/-0.0118)E-06 (2.6471+/-0.0149)E-07
(2.0567+/-0.0116)E-06 (2.7097+/-0.0153)E-07
