A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.1573E+02, Δφ_0 = -0.0000E+00
A_1 = 3.5184E+00, Δφ_1 = -8.6106E-01
A_2 = 1.6847E+00, Δφ_2 = -1.4064E+00
A_3 = 1.2671E+00, Δφ_3 = -1.7265E+00
A_4 = 3.0491E+00, Δφ_4 = 2.4381E-01
A_5 = 6.6526E-01, Δφ_5 = -1.5109E+00
A_6 = 5.0993E-01, Δφ_6 = -1.5913E+00
A_7 = 4.4954E-01, Δφ_7 = -1.5888E+00
A_8 = 3.7610E-01, Δφ_8 = -1.5802E+00
A_9 = 3.4712E-01, Δφ_9 = -1.5709E+00
A_10 = 3.1820E-01, Δφ_10 = -1.5564E+00
A_11 = 2.9274E-01, Δφ_11 = -1.5547E+00
A_12 = 2.8365E-01, Δφ_12 = -1.7286E+00
A_13 = 2.4162E-01, Δφ_13 = -1.6127E+00
A_14 = 2.2703E-01, Δφ_14 = -1.5535E+00
A_15 = 2.1328E-01, Δφ_15 = -1.5905E+00
A_16 = 1.9487E-01, Δφ_16 = -1.5639E+00
A_17 = 1.8551E-01, Δφ_17 = -1.5178E+00
A_18 = 1.7947E-01, Δφ_18 = -1.5283E+00
A_19 = 1.6527E-01, Δφ_19 = -1.5382E+00
A_20 = 1.5405E-01, Δφ_20 = -1.5776E+00
A_21 = 1.4756E-01, Δφ_21 = -1.5851E+00
A_22 = 1.4128E-01, Δφ_22 = -1.5892E+00
A_23 = 1.4254E-01, Δφ_23 = -1.5366E+00
A_24 = 1.3218E-01, Δφ_24 = -1.5363E+00
A_25 = 1.2494E-01, Δφ_25 = -1.5239E+00
A_26 = 1.2389E-01, Δφ_26 = -1.5708E+00
A_27 = 1.2281E-01, Δφ_27 = -1.5099E+00
A_28 = 1.0904E-01, Δφ_28 = -1.5421E+00
A_29 = 9.8640E-02, Δφ_29 = -1.5896E+00
A_30 = 1.0801E-01, Δφ_30 = -1.5447E+00
A_31 = 9.9065E-02, Δφ_31 = -1.5880E+00
A_32 = 9.7986E-02, Δφ_32 = -1.5467E+00
A_33 = 1.0121E-01, Δφ_33 = -1.5582E+00
A_34 = 9.4909E-02, Δφ_34 = -1.4825E+00
A_35 = 9.2380E-02, Δφ_35 = -1.5078E+00
A_36 = 8.8560E-02, Δφ_36 = -1.4724E+00
A_37 = 8.2536E-02, Δφ_37 = -1.5024E+00
A_38 = 8.3470E-02, Δφ_38 = -1.6601E+00
A_39 = 8.2783E-02, Δφ_39 = -1.5796E+00
A_40 = 8.3931E-02, Δφ_40 = -1.4918E+00
A_41 = 8.2287E-02, Δφ_41 = -1.4366E+00
A_42 = 7.3941E-02, Δφ_42 = -1.4858E+00
A_43 = 7.2542E-02, Δφ_43 = -1.6352E+00
A_44 = 7.7148E-02, Δφ_44 = -1.4643E+00
A_45 = 7.4777E-02, Δφ_45 = -1.5621E+00
A_46 = 6.3354E-02, Δφ_46 = -1.5319E+00
A_47 = 6.0732E-02, Δφ_47 = -1.4726E+00
A_48 = 6.6145E-02, Δφ_48 = -1.5768E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.0256E+02, Δφ_0 = -0.0000E+00
A_1 = 2.1219E-01, Δφ_1 = -1.7026E+00
A_2 = 1.9247E-01, Δφ_2 = 8.2151E-01
A_3 = 9.4688E-02, Δφ_3 = 1.9869E+00
A_4 = 9.3739E+00, Δφ_4 = 1.5620E+00
A_5 = 8.2329E-02, Δφ_5 = -1.7525E+00
A_6 = 4.4468E-02, Δφ_6 = -1.3008E+00
A_7 = 4.9775E-02, Δφ_7 = -1.4992E+00
A_8 = 5.8673E-02, Δφ_8 = -1.7658E+00
A_9 = 7.3635E-03, Δφ_9 = -3.0589E+00
A_10 = 1.2908E-02, Δφ_10 = -2.5427E+00
A_11 = 8.8364E-03, Δφ_11 = -1.6787E+00
A_12 = 2.8917E-01, Δφ_12 = -9.5798E-01
A_13 = 3.4082E-03, Δφ_13 = 2.1227E+00
A_14 = 8.1462E-03, Δφ_14 = -1.4822E+00
A_15 = 7.3703E-03, Δφ_15 = -1.8786E+00
A_16 = 9.5783E-03, Δφ_16 = -2.1463E+00
A_17 = 6.8235E-03, Δφ_17 = -4.6270E-01
A_18 = 6.6262E-03, Δφ_18 = -1.6244E+00
A_19 = 2.3318E-03, Δφ_19 = -1.8115E+00
A_20 = 3.6469E-02, Δφ_20 = -2.3504E+00
A_21 = 4.2484E-03, Δφ_21 = -1.9294E+00
A_22 = 5.1234E-03, Δφ_22 = -1.3102E+00
