in s,C1 in V
-2.991360E-04,-6.66465E-01
-2.991312E-04,-6.90879E-01
-2.991312E-04,-6.66465E-01
-2.991264E-04,-6.90879E-01
-2.991264E-04,-6.61582E-01
-2.991216E-04,-6.90879E-01
-2.991216E-04,-6.51816E-01
-2.991168E-04,-6.90879E-01
-2.991168E-04,-6.66465E-01
-2.991120E-04,-6.95762E-01
-2.991120E-04,-6.76230E-01
-2.991072E-04,-6.95762E-01
-2.991072E-04,-6.66465E-01
-2.991024E-04,-6.81113E-01
-2.991024E-04,-6.51816E-01
-2.990976E-04,-6.81113E-01
-2.990976E-04,-6.66465E-01
-2.990928E-04,-6.95762E-01
-2.990928E-04,-6.56699E-01
-2.990880E-04,-6.95762E-01
-2.990880E-04,-6.56699E-01
-2.990832E-04,-6.85996E-01
-2.990832E-04,-6.56699E-01
-2.990784E-04,-6.85996E-01
-2.990784E-04,-6.66465E-01
-2.990736E-04,-6.85996E-01
-2.990736E-04,-6.66465E-01
-2.990688E-04,-6.85996E-01
-2.990688E-04,-6.66465E-01
-2.990640E-04,-6.85996E-01
-2.990640E-04,-6.66465E-01
-2.990592E-04,-6.85996E-01
-2.990592E-04,-6.51816E-01
-2.990544E-04,-6.76230E-01
-2.990544E-04,-6.46934E-01
-2.990496E-04,-6.81113E-01
-2.990496E-04,-6.66465E-01
-2.990448E-04,-6.81113E-01
-2.990448E-04,-6.66465E-01
-2.990400E-04,-6.85996E-01
-2.990400E-04,-6.66465E-01
-2.990352E-04,-6.90879E-01
-2.990352E-04,-6.66465E-01
-2.990304E-04,-6.81113E-01
-2.990304E-04,-6.61582E-01
-2.990256E-04,-6.90879E-01
-2.990256E-04,-6.61582E-01
-2.990208E-04,-6.85996E-01
-2.990208E-04,-6.56699E-01
-2.990160E-04,-6.85996E-01
-2.990160E-04,-6.56699E-01
-2.990112E-04,-6.85996E-01
-2.990112E-04,-6.61582E-01
-2.990064E-04,-6.85996E-01
-2.990064E-04,-6.66465E-01
-2.990016E-04,-6.90879E-01
-2.990016E-04,-6.51816E-01
-2.989968E-04,-6.81113E-01
-2.989968E-04,-6.56699E-01
-2.989920E-04,-6.95762E-01
-2.989920E-04,-6.56699E-01
-2.989872E-04,-7.00645E-01
-2.989872E-04,-6.66465E-01
-2.989824E-04,-7.00645E-01
-2.989824E-04,-6.56699E-01
-2.989776E-04,-6.76230E-01
-2.989776E-04,-6.56699E-01
-2.989728E-04,-6.85996E-01
-2.989728E-04,-6.66465E-01
-2.989680E-04,-6.85996E-01
-2.989680E-04,-6.61582E-01
-2.989632E-04,-6.90879E-01
-2.989632E-04,-6.66465E-01
-2.989584E-04,-6.95762E-01
-2.989584E-04,-6.71348E-01
-2.989536E-04,-6.95762E-01
-2.989536E-04,-6.76230E-01
-2.989488E-04,-6.85996E-01
-2.989488E-04,-6.61582E-01
-2.989440E-04,-6.90879E-01
-2.989440E-04,-6.61582E-01
-2.989392E-04,-6.90879E-01
-2.989392E-04,-6.66465E-01
