"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:20:31",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,2408,,
"Current",,1.193760e-05,,
"Average No.",,1.000000e+03,,
"Min",,2.240000e-08,,
"Max",,1.937120e-05,,
"Mean",,5.269798e-06,,
"StdDev",,2.416571e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.065445e-06,,
"Long term StdDev",,3.814637e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
351,,3.563200e-06,
352,,3.585600e-06,
353,,3.630400e-06,
354,,3.996800e-06,
355,,3.628800e-06,
356,,3.622400e-06,
357,,3.627200e-06,
358,,3.640000e-06,
359,,3.622400e-06,
360,,3.571200e-06,
361,,3.619200e-06,
362,,3.624000e-06,
363,,3.584000e-06,
364,,3.596800e-06,
365,,3.619200e-06,
366,,3.584000e-06,
367,,3.644800e-06,
368,,3.611200e-06,
369,,3.609600e-06,
370,,3.617600e-06,
371,,3.608000e-06,
372,,3.524800e-06,
373,,3.649600e-06,
374,,3.640000e-06,
375,,3.584000e-06,
376,,3.622400e-06,
377,,3.600000e-06,
378,,3.612800e-06,
379,,3.590400e-06,
380,,3.596800e-06,
381,,3.624000e-06,
382,,3.592000e-06,
383,,3.606400e-06,
384,,3.609600e-06,
385,,3.622400e-06,
386,,3.542400e-06,
387,,3.635200e-06,
388,,3.601600e-06,
389,,3.632000e-06,
390,,1.600000e+308,
391,,1.600000e+308,
392,,1.600000e+308,
393,,1.600000e+308,
394,,1.600000e+308,
395,,1.600000e+308,
396,,1.600000e+308,
397,,1.600000e+308,
398,,1.600000e+308,
399,,1.600000e+308,
400,,1.600000e+308,
